key,version,ticker,name,description,start-moment,end-moment,more-info,draft-mode,key:inventor

# base
invention-00,1,"TECH-01","Sistema Autónomo de Energía Urbana","Plataforma tecnológica diseñada para gestionar recursos energéticos en ciudades inteligentes y mejorar la eficiencia del consumo eléctrico.", "2025/01/01 00:00","2025/01/02 00:00","http://tech.example/system",true,inventor-01

# variantes de ticker
invention-01,1,"ABCDE-1","Sistema Autónomo de Energía Urbana","Plataforma tecnológica diseñada para gestionar recursos energéticos en ciudades inteligentes y mejorar la eficiencia del consumo eléctrico.","2025/01/01 00:00","2025/01/02 00:00","http://tech.example/system",true,inventor-01
invention-02,1,"ABCDEF-2","Sistema Autónomo de Energía Urbana","Plataforma tecnológica diseñada para gestionar recursos energéticos en ciudades inteligentes y mejorar la eficiencia del consumo eléctrico.","2025/01/01 00:00","2025/01/02 00:00","http://tech.example/system",true,inventor-01
invention-03,1,"QQQQQ-3","Sistema Autónomo de Energía Urbana","Plataforma tecnológica diseñada para gestionar recursos energéticos en ciudades inteligentes y mejorar la eficiencia del consumo eléctrico.","2025/01/01 00:00","2025/01/02 00:00","http://tech.example/system",true,inventor-01
invention-04,1,"ZZZZZZZZZZZZZZZ","Sistema Autónomo de Energía Urbana","Plataforma tecnológica diseñada para gestionar recursos energéticos en ciudades inteligentes y mejorar la eficiencia del consumo eléctrico.","2025/01/01 00:00","2025/01/02 00:00","http://tech.example/system",true,inventor-01
invention-05,1,"X1Y2Z-4","Sistema Autónomo de Energía Urbana","Plataforma tecnológica diseñada para gestionar recursos energéticos en ciudades inteligentes y mejorar la eficiencia del consumo eléctrico.","2025/01/01 00:00","2025/01/02 00:00","http://tech.example/system",true,inventor-01
invention-06,1,"ABCDE-5","Sistema Autónomo de Energía Urbana","Plataforma tecnológica diseñada para gestionar recursos energéticos en ciudades inteligentes y mejorar la eficiencia del consumo eléctrico.","2025/01/01 00:00","2025/01/02 00:00","http://tech.example/system",true,inventor-01

# variantes de nombre
invention-07,1,"TECH-02","X","Sistema tecnológico para mejorar la distribución energética en infraestructuras urbanas.","2025/01/01 00:00","2025/01/02 00:00","http://tech.example/control",true,inventor-01
invention-08,1,"TECH-03","AI","Sistema tecnológico para mejorar la distribución energética en infraestructuras urbanas.","2025/01/01 00:00","2025/01/02 00:00","http://tech.example/control",true,inventor-01
